symbol,perp_rows_IS,spot_rows_IS,merged_rows_IS,perp_first,spot_first,merged_first,basis_mean_bps,basis_std_bps,basis_p1_bps,basis_p99_bps
BTCUSDT,5727,5727,5727,2020-01-01,2020-01-01,2020-01-01,-0.69,6.36,-8.68,15.52
ETHUSDT,5727,5727,5727,2020-01-01,2020-01-01,2020-01-01,0.02,6.88,-8.97,19.34
LINKUSDT,5678,5727,5678,2020-01-17,2020-01-01,2020-01-17,-0.26,9.04,-19.07,24.54
LTCUSDT,5687,5727,5687,2020-01-09,2020-01-01,2020-01-09,0.35,8.18,-15.37,22.26
DOTUSDT,5025,5035,5025,2020-08-22,2020-08-18,2020-08-22,-1.59,9.26,-20.63,25.2
