symbol,feature,pearson,n
BTCUSDT,cal_dow_norm,-0.0184,5697
BTCUSDT,cal_hour_norm,-0.0247,5697
BTCUSDT,funding_rate_zscore_30,0.3101,5635
BTCUSDT,funding_rate_zscore_90,0.2816,5637
BTCUSDT,interact_natr_x_adx,-0.0276,5697
BTCUSDT,interact_ret1_x_natr,0.1005,5697
BTCUSDT,interact_ret1_x_ret3,-0.0535,5697
BTCUSDT,interact_rsi_x_adx,0.3146,5697
BTCUSDT,interact_rsi_x_natr,0.3199,5697
BTCUSDT,interact_stoch_x_adx,0.2673,5697
BTCUSDT,mom_macd_hist_12_26_9,0.2322,5694
BTCUSDT,mom_macd_line_12_26_9,0.2593,5697
BTCUSDT,mom_roc_10,0.317,5697
BTCUSDT,mom_rsi_14,0.3284,5697
BTCUSDT,mom_stoch_d_14,0.2563,5697
BTCUSDT,mom_stoch_k_14,0.2489,5697
BTCUSDT,mom_willr_14,0.2176,5697
BTCUSDT,mr_pct_from_high_20,0.2243,5697
BTCUSDT,mr_pct_from_low_20,0.1787,5697
BTCUSDT,mr_rsi_extreme_14,-0.2419,5697
BTCUSDT,oi_delta_30_z90,0.1219,4564
BTCUSDT,stat_autocorr_lag5,0.0499,5677
BTCUSDT,stat_kurtosis_20,0.0021,5697
BTCUSDT,stat_log_return_1,0.1129,5697
BTCUSDT,stat_return_5,0.2587,5697
BTCUSDT,stat_skew_20,0.2423,5697
BTCUSDT,trend_adx_14,0.1023,5697
BTCUSDT,trend_aroon_osc_14,0.2634,5697
BTCUSDT,trend_aroon_osc_50,0.1566,5677
BTCUSDT,trend_ema_cross_5_12,0.3395,5697
BTCUSDT,trend_minus_di_14,-0.3481,5697
BTCUSDT,trend_plus_di_14,0.3587,5697
BTCUSDT,trend_supertrend_14_3,0.2199,5697
BTCUSDT,vol_atr_14,-0.0633,5697
BTCUSDT,vol_bb_bandwidth_20,0.0388,5697
BTCUSDT,vol_cmf_14,0.1712,5697
BTCUSDT,vol_mfi_14,0.2832,5697
BTCUSDT,vol_natr_14,-0.0916,5697
BTCUSDT,vol_range_spike_24,0.0268,5697
BTCUSDT,vol_range_spike_72,0.0092,5656
BTCUSDT,vol_taker_buy_ratio,0.0067,5697
BTCUSDT,vol_volume_pctchg_5,0.0254,5697
BTCUSDT,vol_volume_rel_20,0.0207,5697
ETHUSDT,cal_dow_norm,-0.0541,5697
ETHUSDT,cal_hour_norm,0.0064,5697
ETHUSDT,funding_rate_zscore_30,0.2649,5520
ETHUSDT,funding_rate_zscore_90,0.2345,5637
ETHUSDT,interact_natr_x_adx,-0.063,5697
ETHUSDT,interact_ret1_x_natr,0.1161,5697
ETHUSDT,interact_ret1_x_ret3,-0.019,5697
ETHUSDT,interact_rsi_x_adx,0.3283,5697
ETHUSDT,interact_rsi_x_natr,0.2962,5697
ETHUSDT,interact_stoch_x_adx,0.2935,5697
ETHUSDT,mom_macd_hist_12_26_9,0.2573,5694
ETHUSDT,mom_macd_line_12_26_9,0.2089,5697
ETHUSDT,mom_roc_10,0.3148,5697
ETHUSDT,mom_rsi_14,0.3628,5697
ETHUSDT,mom_stoch_d_14,0.2647,5697
ETHUSDT,mom_stoch_k_14,0.2903,5697
ETHUSDT,mom_willr_14,0.305,5697
ETHUSDT,mr_pct_from_high_20,0.2376,5697
ETHUSDT,mr_pct_from_low_20,0.1672,5697
ETHUSDT,mr_rsi_extreme_14,-0.2515,5697
ETHUSDT,oi_delta_30_z90,0.1199,3294
ETHUSDT,stat_autocorr_lag5,0.0451,5677
ETHUSDT,stat_kurtosis_20,0.0317,5697
ETHUSDT,stat_log_return_1,0.1908,5697
ETHUSDT,stat_return_5,0.3015,5697
ETHUSDT,stat_skew_20,0.2072,5697
ETHUSDT,trend_adx_14,0.0462,5697
ETHUSDT,trend_aroon_osc_14,0.2986,5697
ETHUSDT,trend_aroon_osc_50,0.1513,5677
ETHUSDT,trend_ema_cross_5_12,0.3147,5697
ETHUSDT,trend_minus_di_14,-0.3485,5697
ETHUSDT,trend_plus_di_14,0.3657,5697
ETHUSDT,trend_supertrend_14_3,0.2231,5697
ETHUSDT,vol_atr_14,-0.0782,5697
ETHUSDT,vol_bb_bandwidth_20,0.0106,5697
ETHUSDT,vol_cmf_14,0.2268,5697
ETHUSDT,vol_mfi_14,0.3014,5697
ETHUSDT,vol_natr_14,-0.0891,5697
ETHUSDT,vol_range_spike_24,0.0495,5697
ETHUSDT,vol_range_spike_72,0.0333,5656
ETHUSDT,vol_taker_buy_ratio,0.103,5697
ETHUSDT,vol_volume_pctchg_5,0.0321,5697
ETHUSDT,vol_volume_rel_20,0.0682,5697
LINKUSDT,cal_dow_norm,0.0104,5648
LINKUSDT,cal_hour_norm,-0.0125,5648
LINKUSDT,funding_rate_zscore_30,0.2073,5562
LINKUSDT,funding_rate_zscore_90,0.189,5588
LINKUSDT,interact_natr_x_adx,-0.1094,5648
LINKUSDT,interact_ret1_x_natr,0.0758,5648
LINKUSDT,interact_ret1_x_ret3,-0.0597,5648
LINKUSDT,interact_rsi_x_adx,0.2401,5648
LINKUSDT,interact_rsi_x_natr,0.247,5648
LINKUSDT,interact_stoch_x_adx,0.2062,5648
LINKUSDT,mom_macd_hist_12_26_9,0.18,5645
LINKUSDT,mom_macd_line_12_26_9,0.1674,5648
LINKUSDT,mom_roc_10,0.2213,5648
LINKUSDT,mom_rsi_14,0.2724,5648
LINKUSDT,mom_stoch_d_14,0.2025,5648
LINKUSDT,mom_stoch_k_14,0.2204,5648
LINKUSDT,mom_willr_14,0.2254,5648
LINKUSDT,mr_pct_from_high_20,0.2568,5648
LINKUSDT,mr_pct_from_low_20,0.0585,5648
LINKUSDT,mr_rsi_extreme_14,-0.1387,5648
LINKUSDT,oi_delta_30_z90,0.1129,3294
LINKUSDT,stat_autocorr_lag5,-0.0019,5628
LINKUSDT,stat_kurtosis_20,-0.0194,5648
LINKUSDT,stat_log_return_1,0.1095,5648
LINKUSDT,stat_return_5,0.2092,5648
LINKUSDT,stat_skew_20,0.1784,5648
LINKUSDT,trend_adx_14,-0.0273,5648
LINKUSDT,trend_aroon_osc_14,0.2067,5648
LINKUSDT,trend_aroon_osc_50,0.1135,5628
LINKUSDT,trend_ema_cross_5_12,0.2447,5648
LINKUSDT,trend_minus_di_14,-0.3092,5648
LINKUSDT,trend_plus_di_14,0.2234,5648
LINKUSDT,trend_supertrend_14_3,0.1707,5648
LINKUSDT,vol_atr_14,-0.0765,5648
LINKUSDT,vol_bb_bandwidth_20,-0.0878,5648
LINKUSDT,vol_cmf_14,0.1271,5648
LINKUSDT,vol_mfi_14,0.21,5648
LINKUSDT,vol_natr_14,-0.1431,5648
LINKUSDT,vol_range_spike_24,-0.0762,5648
LINKUSDT,vol_range_spike_72,-0.0925,5607
LINKUSDT,vol_taker_buy_ratio,0.0288,5648
LINKUSDT,vol_volume_pctchg_5,-0.0557,5648
LINKUSDT,vol_volume_rel_20,-0.0479,5648
LTCUSDT,cal_dow_norm,0.0037,5657
LTCUSDT,cal_hour_norm,-0.025,5657
LTCUSDT,funding_rate_zscore_30,0.2494,5657
LTCUSDT,funding_rate_zscore_90,0.2262,5559
LTCUSDT,interact_natr_x_adx,-0.1453,5657
LTCUSDT,interact_ret1_x_natr,0.136,5657
LTCUSDT,interact_ret1_x_ret3,-0.059,5657
LTCUSDT,interact_rsi_x_adx,0.3264,5657
LTCUSDT,interact_rsi_x_natr,0.347,5657
