symbol,rows_IS,valid_z_IS,z_mean,z_std,z_skew,z_kurt,z_p01,z_p99,z_abs_pct_above_2,raw_basis_mean_bps,raw_basis_std_bps
BTCUSDT,5727,5697,0.006,1.257,0.756,6.143,-2.813,3.522,8.43,-0.69,6.36
ETHUSDT,5727,5697,0.0077,1.248,0.917,8.792,-2.733,3.281,7.53,0.02,6.88
LINKUSDT,5678,5648,0.0104,1.1628,-0.231,3.049,-2.703,2.751,7.42,-0.26,9.04
LTCUSDT,5687,5657,0.0198,1.1737,0.015,2.125,-2.837,2.91,7.53,0.35,8.18
DOTUSDT,5025,4995,0.0035,1.1696,-0.308,4.758,-2.738,2.704,6.91,-1.59,9.26
